date,region,category,units_sold,revenue,profit
2024-01-05,North,Electronics,12,3600,720
2024-01-08,South,Furniture,5,1250,150
2024-01-12,East,Electronics,8,2400,480
2024-01-15,West,Clothing,20,1000,300
2024-01-20,North,Furniture,3,900,90
2024-02-02,South,Electronics,15,4500,900
2024-02-10,East,Clothing,25,1250,375
2024-02-14,West,Electronics,10,3000,600
2024-02-18,North,Clothing,18,900,270
2024-02-25,South,Furniture,7,1750,210
2024-03-03,East,Furniture,4,1000,120
2024-03-09,West,Furniture,6,1500,180
2024-03-15,North,Electronics,14,4200,840
2024-03-20,South,Clothing,22,1100,330
2024-03-28,East,Electronics,9,2700,540
